freq_mode,max_trades_per_5days,hourly_noise,daily_noise,profit,num_trades,win_pct,max_dd
high_freq,20,0.003,0.01,270374.67580368347,237,51.89873417721519,2319.000000000004
high_freq,20,0.004,0.0,536626.2671909695,1520,56.38157894736842,567.0000000000064
high_freq,20,0.004,0.0005,549347.0641311851,1541,57.23556132381571,567.0000000000064
high_freq,20,0.004,0.001,562576.9652646239,1511,57.57776307081402,567.0000000000064
high_freq,20,0.004,0.002,666064.8173325385,1278,58.99843505477308,802.9999999999981
high_freq,20,0.004,0.003,737979.6703502617,806,61.41439205955335,865.0000000000045
high_freq,20,0.004,0.004,688393.3482190568,510,62.94117647058823,775.9999999999989
high_freq,20,0.004,0.005,599023.0846913974,446,58.52017937219731,1313.0000000000084
high_freq,20,0.004,0.007,426896.76765187056,304,57.89473684210527,2561.9999999999973
high_freq,20,0.004,0.01,278028.4480588164,241,52.69709543568465,2319.000000000004
high_freq,20,0.005,0.0,449342.93862789636,1543,55.34672715489306,546.9999999999864
high_freq,20,0.005,0.0005,461025.8563845436,1544,56.023316062176164,546.9999999999864
high_freq,20,0.005,0.001,475170.63600636995,1546,56.79172056921087,546.9999999999864
high_freq,20,0.005,0.002,541665.4739817181,1436,57.72980501392758,546.9999999999864
high_freq,20,0.005,0.003,674902.5024218454,1061,58.8124410933082,865.0000000000045
high_freq,20,0.005,0.004,663624.9546822903,626,59.26517571884984,852.0000000000082
high_freq,20,0.005,0.005,540423.6837769942,487,58.72689938398358,1292.000000000004
high_freq,20,0.005,0.007,415366.4878352115,345,56.231884057971016,2561.9999999999973
high_freq,20,0.005,0.01,276462.64237070153,228,51.75438596491229,2319.000000000004
high_freq,20,0.007,0.0,335871.0212262054,1563,54.702495201535505,546.9999999999864
high_freq,20,0.007,0.0005,340365.1798211447,1559,55.29185375240539,475.9999999999875
high_freq,20,0.007,0.001,368905.8528087693,1564,56.07416879795396,475.9999999999875
high_freq,20,0.007,0.002,405504.8716773058,1543,55.41153596889177,483.9999999999955
high_freq,20,0.007,0.003,474805.827730014,1477,56.668923493568045,495.00000000000097
high_freq,20,0.007,0.004,558708.2179109296,1073,57.129543336439895,700.999999999996
high_freq,20,0.007,0.005,492345.3309626286,777,54.31145431145431,1119.0000000000032
high_freq,20,0.007,0.007,370622.9269683968,385,55.58441558441558,1837.9999999999839
high_freq,20,0.007,0.01,279423.38385701063,252,51.19047619047619,2319.000000000004
high_freq,20,0.01,0.0,250733.6330202883,1589,54.310887350534934,475.9999999999875
high_freq,20,0.01,0.0005,244920.9414680641,1588,54.848866498740556,475.9999999999875
high_freq,20,0.01,0.001,254835.066332418,1585,55.268138801261834,475.9999999999875
high_freq,20,0.01,0.002,285479.9727297432,1583,55.52747946936197,475.9999999999875
high_freq,20,0.01,0.003,352936.2147233207,1568,55.48469387755102,475.9999999999875
high_freq,20,0.01,0.004,391947.3354613108,1504,55.5186170212766,584.0000000000067
high_freq,20,0.01,0.005,442940.6736078649,1339,55.86258401792382,648.0000000000041
high_freq,20,0.01,0.007,340818.98904747283,650,53.38461538461539,1381.0000000000098
high_freq,20,0.01,0.01,165769.71538579813,369,52.03252032520326,1839.999999999997
low_freq,3,0.0,0.0,444868.0575068402,183,72.1311475409836,221.00000000000452
low_freq,3,0.0,0.0005,460417.7208778043,194,72.68041237113401,275.000000000003
low_freq,3,0.0,0.001,472924.5578984136,197,70.55837563451777,275.000000000003
low_freq,3,0.0,0.002,474442.8158958014,206,73.30097087378641,767.0000000000065
low_freq,3,0.0,0.003,455870.58525747317,190,71.57894736842105,717.9999999999964
low_freq,3,0.0,0.004,387832.52189209126,204,65.68627450980392,717.9999999999964
low_freq,3,0.0,0.005,347129.1028944687,181,61.87845303867403,1025.9999999999934
low_freq,3,0.0,0.007,198451.43214715598,182,53.84615384615385,1444.0000000000007
low_freq,3,0.0,0.01,142316.11780542746,135,51.85185185185185,1781.0000000000102
low_freq,3,0.0005,0.0,400643.6426902637,201,65.67164179104478,228.9999999999903
low_freq,3,0.0005,0.0005,401536.1269133261,198,67.67676767676768,275.000000000003
low_freq,3,0.0005,0.001,435707.2040961806,186,72.04301075268818,329.0000000000015
low_freq,3,0.0005,0.002,451188.00089159585,194,73.71134020618557,571.9999999999947
low_freq,3,0.0005,0.003,399852.7363566733,180,68.88888888888889,1007.9999999999866
